region,left_id,right_id,midline_id,lobe,ca_network,left_full_name,right_full_name,midline_full_name,acronym,lobe_color,region_color
3rdVentricle,,,4.0,Ventricles and CSF,,,,x3rdVentricle_4,3rdVent,#17becf,#ffa0be
4thVentricle,,,11.0,Ventricles and CSF,,,,x4thVentricle_11,4thVent,#17becf,#32db93
ACgGAnteriorCingulateGyrus,101.0,100.0,,Frontal Lobe,Cingulo-Opercular,LeftACgGAnteriorCingulateGyrus_101,RightACgGAnteriorCingulateGyrus_100,,ACgG,#bcbd22,#00ff00
AInsAnteriorInsula,103.0,102.0,,Insular Cortex,Cingulo-Opercular,LeftAInsAnteriorInsula_103,RightAInsAnteriorInsula_102,,AIns,#d62728,#75bd32
AOrGAnteriorOrbitalGyrus,105.0,104.0,,Frontal Lobe,Orbito-Affective,LeftAOrGAnteriorOrbitalGyrus_105,RightAOrGAnteriorOrbitalGyrus_104,,AOrG,#bcbd22,#ff00ff
AccumbensArea,30.0,23.0,,Subcortical Structures,,LeftAccumbensArea_30,RightAccumbensArea_23,,Acc,#e377c2,#032cfe
Agd_laterobasal,238.0,239.0,,Limbic Cortex,,LeftAgd_laterobasal_238,RightAgd_laterobasal_239,,Agd_lb,#1f77b4,#7dfa86
Agd_superficial,240.0,241.0,,Limbic Cortex,,LeftAgd_superficial_240,RightAgd_superficial_241,,Agd_sp,#1f77b4,#ffff80
AnGAngularGyrus,107.0,106.0,,Parietal Lobe,Default,LeftAnGAngularGyrus_107,RightAnGAngularGyrus_106,,AnG,#9467bd,#800000
BasalForebrain,75.0,76.0,,Subcortical Structures,,LeftBasalForebrain_75,RightBasalForebrain_76,,BF,#e377c2,#09f8c0
BrainStem,,,35.0,Cerebellum,,,,BrainStem_35,BS,#7f7f7f,#000000
COCentralOperculum,113.0,112.0,,Parietal Lobe,Somatomotor,LeftCOCentralOperculum_113,RightCOCentralOperculum_112,,CO,#9467bd,#165012
CSF,,,46.0,Ventricles and CSF,,,,CSF_46,CSF,#17becf,#000000
CalcCalcarineCortex,109.0,108.0,,Occipital Lobe,Visual1,LeftCalcCalcarineCortex_109,RightCalcCalcarineCortex_108,,Calc,#ff7f0e,#5510ac
Caudate,37.0,36.0,,Subcortical Structures,,LeftCaudate_37,RightCaudate_36,,Caud,#e377c2,#8e801d
CerebellarVermalLobulesI0x2DV,,,71.0,Cerebellum,,,,CerebellarVermalLobulesI0x2DV_71,CbVL1-5,#7f7f7f,#000000
CerebellarVermalLobulesVI0x2DVII,,,72.0,Cerebellum,,,,CerebellarVermalLobulesVI0x2DVII_72,CbVL6-7,#7f7f7f,#000000
CerebellarVermalLobulesVIII0x2DX,,,73.0,Cerebellum,,,,CerebellarVermalLobulesVIII0x2DX_73,CbVL8-10,#7f7f7f,#000000
CerebellumExterior,39.0,38.0,,Cerebellum,,LeftCerebellumExterior_39,RightCerebellumExterior_38,,CbE,#7f7f7f,#000000
CerebralWhiteMatter,45.0,44.0,,White Matter,,LeftCerebralWhiteMatter_45,RightCerebralWhiteMatter_44,,CWM,#8c564b,#000000
CunCuneus,115.0,114.0,,Occipital Lobe,Visual1,LeftCunCuneus_115,RightCunCuneus_114,,Cun,#ff7f0e,#ff0080
DentateNucleus,214.0,215.0,,Cerebellum,,LeftDentateNucleus_214,RightDentateNucleus_215,,DN,#7f7f7f,#000000
EntEntorhinalArea,117.0,116.0,,Temporal Lobe,,LeftEntEntorhinalArea_117,RightEntEntorhinalArea_116,,Ent,#2ca02c,#f8409a
FOFrontalOperculum,119.0,118.0,,Frontal Lobe,Language,LeftFOFrontalOperculum_119,RightFOFrontalOperculum_118,,FO,#bcbd22,#0080ff
FRPFrontalPole,121.0,120.0,,Frontal Lobe,Frontoparietal,LeftFRPFrontalPole_121,RightFRPFrontalPole_120,,FRP,#bcbd22,#ff8000
FuGFusiformGyrus,123.0,122.0,,Temporal Lobe,Ventral-Multimodal,LeftFuGFusiformGyrus_123,RightFuGFusiformGyrus_122,,FuG,#2ca02c,#7b490a
GReGyrusRectus,125.0,124.0,,Frontal Lobe,Orbito-Affective,LeftGReGyrusRectus_125,RightGReGyrusRectus_124,,GRe,#bcbd22,#80bf80
