name;index;GMvalues_unthresholded;GMvalues_thresholded
3rd Ventricle;4;1.0699999494009442;0.17999999148800933
4th Ventricle;11;1.9239999090162774;0.0
Right Accumbens Area;23;0.29199998619165957;0.29199998619165957
Left Accumbens Area;30;0.3479999835434847;0.3479999835434847
Brain Stem;35;20.36299903705741;0.4929999766866033
Right Caudate;36;2.0599999025849955;1.9899999058952142
Left Caudate;37;2.1379998988964664;2.0789999016865077
Right Cerebellum Exterior;38;54.857997405828975;38.341998186851406
Left Cerebellum Exterior;39;56.59999732345182;38.72399816878707
Right Cerebral White Matter;44;183.6349913161144;8.759999585749787
Left Cerebral White Matter;45;184.73299126419124;8.422999601686126
CSF;46;1.0759999491172112;0.014999999290667443
Right Inf Lat Vent;49;0.4689999778215354;0.012999999385245117
Left Inf Lat Vent;50;0.34399998373264;0.016999999196089768
Right Lateral Ventricle;51;5.746999728231053;0.04599999782471349
Left Lateral Ventricle;52;6.489999693095447;0.0619999970680921
Right Pallidum;55;1.2409999413145532;0.37599998221939723
Left Pallidum;56;1.1619999450503713;0.3719999824085526
Right Putamen;57;2.9799998590792653;2.7429998702867198
Left Putamen;58;3.0869998540193597;2.823999866456324
Right vessel;63;;
Left vessel;64;;
Optic Chiasm;69;0.09199999564942699;0.06999999668978141
Cerebellar Vermal Lobules I-V;71;5.101999758732353;2.9509998604506418
Cerebellar Vermal Lobules VI-VII;72;2.1689998974305125;1.5169999282628341
Cerebellar Vermal Lobules VIII-X;73;2.9009998628150835;2.4099998860339027
Left Basal Forebrain;75;0.2689999872793028;0.25499998794134654
Right Basal Forebrain;76;0.22299998945458932;0.2049999903057884
Right ACgG anterior cingulate gyrus;100;3.435999837515556;2.5359998800755092
Left ACgG anterior cingulate gyrus;101;4.253999798833287;3.4609998363333347
Right AIns anterior insula;102;3.541999832502939;2.850999865179525
Left AIns anterior insula;103;3.6489998274430335;2.815999866834635
Right AOrG anterior orbital gyrus;104;1.4279999324715407;1.1889999437735728
