number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.8552176030418833,2025-09-11 13:26:21.964973,2025-09-11 13:27:21.003251,0 days 00:00:59.038278,False,balanced,entropy,24.0,1.0,9,49,1855,COMPLETE
1,0.8027631126523177,2025-09-11 13:26:21.969129,2025-09-11 13:26:45.319696,0 days 00:00:23.350567,True,balanced,gini,8.0,sqrt,19,15,598,COMPLETE
2,0.8555024461786174,2025-09-11 13:26:21.995390,2025-09-11 13:26:52.441056,0 days 00:00:30.445666,False,balanced,entropy,16.0,0.5,11,28,850,COMPLETE
3,0.849634517705069,2025-09-11 13:26:22.003626,2025-09-11 13:27:09.623112,0 days 00:00:47.619486,False,,gini,8.0,0.8,10,7,1418,COMPLETE
4,0.8111038393109705,2025-09-11 13:26:22.012510,2025-09-11 13:27:03.335571,0 days 00:00:41.323061,False,,gini,8.0,log2,9,4,1354,COMPLETE
5,0.8459233492442285,2025-09-11 13:26:46.581871,2025-09-11 13:27:28.977477,0 days 00:00:42.395606,False,balanced,gini,8.0,1.0,14,47,1323,COMPLETE
6,0.7588928954292953,2025-09-11 13:26:53.085985,2025-09-11 13:27:23.966887,0 days 00:00:30.880902,True,,gini,24.0,log2,20,35,1655,PRUNED
7,0.812964948185687,2025-09-11 13:27:03.495743,2025-09-11 13:27:23.657696,0 days 00:00:20.161953,False,,gini,8.0,log2,4,41,1572,PRUNED
8,0.7938472533541241,2025-09-11 13:27:10.420250,2025-09-11 13:27:28.962955,0 days 00:00:18.542705,True,balanced,entropy,16.0,log2,16,27,1452,PRUNED
9,0.8698512293801276,2025-09-11 13:27:22.878959,2025-09-11 13:28:04.682887,0 days 00:00:41.803928,False,,entropy,16.0,1.0,7,17,1372,COMPLETE
10,0.789840442852491,2025-09-11 13:27:23.780118,2025-09-11 13:27:29.673093,0 days 00:00:05.892975,True,balanced,entropy,32.0,log2,17,30,982,PRUNED
11,0.8312438944969066,2025-09-11 13:27:24.282999,2025-09-11 13:27:33.140033,0 days 00:00:08.857034,True,balanced,gini,24.0,0.8,20,16,1470,PRUNED
12,0.7985183979159882,2025-09-11 13:27:29.098136,2025-09-11 13:27:32.278806,0 days 00:00:03.180670,True,balanced,entropy,12.0,sqrt,19,13,317,PRUNED
13,0.7946597199609248,2025-09-11 13:27:29.135643,2025-09-11 13:27:37.709448,0 days 00:00:08.573805,True,balanced,entropy,16.0,log2,14,31,1340,PRUNED
14,0.8693315341189443,2025-09-11 13:27:30.825520,2025-09-11 13:27:45.060461,0 days 00:00:14.234941,False,balanced,entropy,16.0,0.5,1,19,307,COMPLETE
15,0.8540835472788253,2025-09-11 13:27:32.969965,2025-09-11 13:28:01.915387,0 days 00:00:28.945422,False,balanced,entropy,,0.5,5,49,900,COMPLETE
16,0.8531376687685108,2025-09-11 13:27:33.473560,2025-09-11 13:28:22.572218,0 days 00:00:49.098658,False,balanced,entropy,16.0,0.5,6,48,1959,COMPLETE
17,0.8954455381216905,2025-09-11 13:27:38.124743,2025-09-11 13:28:17.790810,0 days 00:00:39.666067,False,balanced,entropy,,0.5,6,48,1915,PRUNED
18,0.8671391419646775,2025-09-11 13:27:46.733388,2025-09-11 13:28:12.668702,0 days 00:00:25.935314,False,balanced,entropy,16.0,0.5,3,21,833,COMPLETE
19,0.8670165339369473,2025-09-11 13:28:02.784832,2025-09-11 13:28:12.682118,0 days 00:00:09.897286,False,balanced,entropy,16.0,0.5,1,22,204,COMPLETE
20,0.8696449517691371,2025-09-11 13:28:05.358005,2025-09-11 13:28:17.479584,0 days 00:00:12.121579,False,,entropy,16.0,0.5,1,21,226,COMPLETE
21,0.8734712508890793,2025-09-11 13:28:13.012451,2025-09-11 13:28:43.860248,0 days 00:00:30.847797,False,,entropy,,1.0,6,10,1146,COMPLETE
22,0.8742787905163987,2025-09-11 13:28:13.053486,2025-09-11 13:28:30.451070,0 days 00:00:17.397584,False,,entropy,,1.0,6,10,519,COMPLETE
23,0.8698127223121382,2025-09-11 13:28:17.685421,2025-09-11 13:28:38.574535,0 days 00:00:20.889114,False,,entropy,12.0,1.0,6,9,641,COMPLETE
24,0.8682525394698637,2025-09-11 13:28:18.130041,2025-09-11 13:28:45.141055,0 days 00:00:27.011014,False,,entropy,12.0,1.0,7,10,1089,COMPLETE
25,0.8728604442185517,2025-09-11 13:28:22.857432,2025-09-11 13:28:38.133207,0 days 00:00:15.275775,False,,entropy,16.0,1.0,1,21,425,COMPLETE
26,0.8717429014583052,2025-09-11 13:28:31.914725,2025-09-11 13:28:48.748729,0 days 00:00:16.834004,False,,entropy,,1.0,7,10,523,COMPLETE
27,0.8718273649308461,2025-09-11 13:28:38.506019,2025-09-11 13:28:58.372608,0 days 00:00:19.866589,False,,entropy,,1.0,7,10,639,COMPLETE
28,0.9039567293636098,2025-09-11 13:28:39.161385,2025-09-11 13:28:52.117393,0 days 00:00:12.956008,False,,entropy,,1.0,8,11,504,PRUNED
29,0.8781206856203422,2025-09-11 13:28:44.468396,2025-09-11 13:29:17.252919,0 days 00:00:32.784523,False,,entropy,,1.0,4,11,1154,COMPLETE
30,0.8806974184571779,2025-09-11 13:28:46.966105,2025-09-11 13:29:03.711925,0 days 00:00:16.745820,False,,entropy,,1.0,3,5,558,COMPLETE
31,0.8805002142972149,2025-09-11 13:28:49.403498,2025-09-11 13:29:07.864595,0 days 00:00:18.461097,False,,entropy,,1.0,3,2,457,COMPLETE
32,0.8804688399092171,2025-09-11 13:28:52.808853,2025-09-11 13:29:25.897590,0 days 00:00:33.088737,False,,entropy,,1.0,3,3,1175,COMPLETE
33,0.8804624197197317,2025-09-11 13:28:59.049002,2025-09-11 13:29:32.547424,0 days 00:00:33.498422,False,,entropy,32.0,1.0,3,4,1182,COMPLETE
34,0.8805028640679714,2025-09-11 13:29:04.334413,2025-09-11 13:29:26.228375,0 days 00:00:21.893962,False,,entropy,,1.0,3,2,752,COMPLETE
35,0.8805597455737709,2025-09-11 13:29:08.466771,2025-09-11 13:29:31.636637,0 days 00:00:23.169866,False,,entropy,,1.0,3,2,742,COMPLETE
36,0.8804313627287739,2025-09-11 13:29:17.454087,2025-09-11 13:29:39.204267,0 days 00:00:21.750180,False,,entropy,,1.0,3,2,734,COMPLETE
37,0.8593943340931293,2025-09-11 13:29:26.066205,2025-09-11 13:29:32.723843,0 days 00:00:06.657638,False,,entropy,,sqrt,3,2,1197,PRUNED
38,0.8603386519049169,2025-09-11 13:29:27.132213,2025-09-11 13:29:32.015408,0 days 00:00:04.883195,False,,entropy,,sqrt,3,2,683,PRUNED
39,0.860371214588082,2025-09-11 13:29:31.955295,2025-09-11 13:29:36.395884,0 days 00:00:04.440589,False,,entropy,32.0,sqrt,3,5,778,PRUNED
40,0.8789024876322259,2025-09-11 13:29:32.246788,2025-09-11 13:29:55.911339,0 days 00:00:23.664551,False,,gini,,0.8,2,6,763,COMPLETE
41,0.8547378704005211,2025-09-11 13:29:33.559523,2025-09-11 13:29:38.684757,0 days 00:00:05.125234,False,,gini,,0.8,11,7,742,PRUNED
