number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.8303255575493464,2025-09-12 16:34:33.734926,2025-09-12 16:35:28.111038,0 days 00:00:54.376112,False,balanced,gini,12.0,sqrt,16,24,1772,COMPLETE
1,0.8261311202255832,2025-09-12 16:34:33.744322,2025-09-12 16:34:54.226077,0 days 00:00:20.481755,True,,gini,32.0,log2,7,40,361,COMPLETE
2,0.8662105870289668,2025-09-12 16:34:33.736644,2025-09-12 16:35:28.487890,0 days 00:00:54.751246,False,,entropy,32.0,0.8,12,2,1750,COMPLETE
3,0.8625897205844655,2025-09-12 16:34:33.770903,2025-09-12 16:35:28.367098,0 days 00:00:54.596195,True,,gini,16.0,1.0,4,33,1601,COMPLETE
4,0.816088823378621,2025-09-12 16:34:33.790715,2025-09-12 16:35:15.352544,0 days 00:00:41.561829,False,,gini,16.0,log2,18,45,1228,COMPLETE
5,0.8625897205844655,2025-09-12 16:34:54.433116,2025-09-12 16:35:28.633755,0 days 00:00:34.200639,True,,gini,,0.8,10,15,880,COMPLETE
6,0.8374775698538837,2025-09-12 16:35:15.581723,2025-09-12 16:35:35.332327,0 days 00:00:19.750604,True,balanced,gini,24.0,log2,11,21,944,PRUNED
7,0.8040085875416559,2025-09-12 16:35:28.274762,2025-09-12 16:35:34.574408,0 days 00:00:06.299646,True,,gini,12.0,log2,17,13,759,PRUNED
8,0.8842924891053575,2025-09-12 16:35:28.520021,2025-09-12 16:35:48.500785,0 days 00:00:19.980764,False,balanced,entropy,24.0,sqrt,3,21,975,PRUNED
9,0.8721417585234554,2025-09-12 16:35:29.550869,2025-09-12 16:35:48.239710,0 days 00:00:18.688841,False,balanced,entropy,32.0,sqrt,2,8,367,COMPLETE
10,0.8037522430146118,2025-09-12 16:35:30.423847,2025-09-12 16:35:41.315284,0 days 00:00:10.891437,False,balanced,gini,8.0,log2,13,44,1984,PRUNED
11,0.8430530633170981,2025-09-12 16:35:34.828354,2025-09-12 16:35:51.158813,0 days 00:00:16.330459,True,,entropy,16.0,0.5,16,36,1450,PRUNED
12,0.8641726480389643,2025-09-12 16:35:35.933904,2025-09-12 16:36:03.059872,0 days 00:00:27.125968,False,,entropy,12.0,0.8,4,44,1060,COMPLETE
13,0.8258299154063062,2025-09-12 16:35:41.952055,2025-09-12 16:35:50.655805,0 days 00:00:08.703750,True,balanced,entropy,12.0,sqrt,2,28,1396,PRUNED
14,0.8790935016662393,2025-09-12 16:35:48.433597,2025-09-12 16:35:56.027319,0 days 00:00:07.593722,False,balanced,entropy,32.0,sqrt,1,2,200,COMPLETE
15,0.8858674057933863,2025-09-12 16:35:48.641035,2025-09-12 16:35:58.839923,0 days 00:00:10.198888,False,balanced,entropy,32.0,0.5,1,2,314,COMPLETE
16,0.8722539092540373,2025-09-12 16:35:51.290849,2025-09-12 16:36:02.368619,0 days 00:00:11.077770,False,balanced,entropy,32.0,0.8,7,2,362,COMPLETE
17,0.8721577800563958,2025-09-12 16:35:51.487037,2025-09-12 16:35:59.442010,0 days 00:00:07.954973,False,balanced,entropy,32.0,0.8,7,2,209,COMPLETE
18,0.8789204691104846,2025-09-12 16:35:56.272895,2025-09-12 16:36:04.232608,0 days 00:00:07.959713,False,balanced,entropy,32.0,sqrt,1,2,217,COMPLETE
19,0.8720135862599333,2025-09-12 16:35:59.294956,2025-09-12 16:36:08.504964,0 days 00:00:09.210008,False,balanced,entropy,32.0,0.5,6,3,205,COMPLETE
20,0.8778165854908997,2025-09-12 16:36:00.711528,2025-09-12 16:36:17.274852,0 days 00:00:16.563324,False,balanced,entropy,32.0,0.5,5,9,602,COMPLETE
21,0.877534606511151,2025-09-12 16:36:02.649932,2025-09-12 16:36:20.642334,0 days 00:00:17.992402,False,balanced,entropy,,0.5,5,10,645,COMPLETE
22,0.8344655216611125,2025-09-12 16:36:03.959702,2025-09-12 16:36:08.459698,0 days 00:00:04.499996,False,balanced,entropy,,0.5,20,10,648,PRUNED
23,0.8350903614457831,2025-09-12 16:36:04.825180,2025-09-12 16:36:08.663137,0 days 00:00:03.837957,False,balanced,entropy,8.0,0.5,6,10,629,PRUNED
24,0.8776948218405538,2025-09-12 16:36:08.588117,2025-09-12 16:36:23.678178,0 days 00:00:15.090061,False,balanced,entropy,32.0,sqrt,1,6,502,COMPLETE
25,0.8776723916944373,2025-09-12 16:36:08.614224,2025-09-12 16:36:23.712459,0 days 00:00:15.098235,False,balanced,entropy,32.0,sqrt,1,6,506,COMPLETE
26,0.8757433991284286,2025-09-12 16:36:08.731514,2025-09-12 16:36:24.168069,0 days 00:00:15.436555,False,balanced,entropy,32.0,sqrt,1,7,516,COMPLETE
27,0.8452480133299154,2025-09-12 16:36:18.508342,2025-09-12 16:36:22.049697,0 days 00:00:03.541355,False,balanced,entropy,32.0,sqrt,1,16,454,PRUNED
28,0.8439182260958729,2025-09-12 16:36:21.156799,2025-09-12 16:36:24.079938,0 days 00:00:02.923139,False,balanced,entropy,32.0,sqrt,1,17,470,PRUNED
29,0.8847186618815688,2025-09-12 16:36:22.537393,2025-09-12 16:36:35.501117,0 days 00:00:12.963724,False,balanced,entropy,32.0,1.0,1,6,473,COMPLETE
30,0.8361638041527814,2025-09-12 16:36:24.022352,2025-09-12 16:36:26.619090,0 days 00:00:02.596738,False,balanced,entropy,8.0,1.0,3,13,272,PRUNED
31,0.8386631632914637,2025-09-12 16:36:24.049632,2025-09-12 16:36:26.547885,0 days 00:00:02.498253,False,balanced,entropy,8.0,1.0,9,5,210,PRUNED
32,0.8367726224045117,2025-09-12 16:36:24.277686,2025-09-12 16:36:26.704213,0 days 00:00:02.426527,False,balanced,entropy,8.0,1.0,9,26,286,PRUNED
33,0.8361317610869008,2025-09-12 16:36:24.536769,2025-09-12 16:36:26.969831,0 days 00:00:02.433062,False,balanced,entropy,8.0,1.0,3,29,268,PRUNED
34,0.8808766982824917,2025-09-12 16:36:26.656033,2025-09-12 16:36:38.420214,0 days 00:00:11.764181,False,balanced,entropy,32.0,0.5,3,5,328,COMPLETE
35,0.8797776211227891,2025-09-12 16:36:26.929422,2025-09-12 16:36:40.370500,0 days 00:00:13.441078,False,balanced,entropy,32.0,0.5,4,4,362,COMPLETE
36,0.8801012560881825,2025-09-12 16:36:27.043187,2025-09-12 16:36:47.095360,0 days 00:00:20.052173,False,balanced,entropy,32.0,0.5,4,4,803,COMPLETE
37,0.8796462445526787,2025-09-12 16:36:27.548493,2025-09-12 16:36:41.404301,0 days 00:00:13.855808,False,balanced,entropy,32.0,0.5,4,4,386,COMPLETE
38,0.839207895411433,2025-09-12 16:36:35.614664,2025-09-12 16:36:39.447909,0 days 00:00:03.833245,False,balanced,entropy,32.0,1.0,3,49,355,PRUNED
39,0.8800724173288901,2025-09-12 16:36:38.616992,2025-09-12 16:37:01.576859,0 days 00:00:22.959867,False,balanced,entropy,32.0,0.5,4,5,792,COMPLETE
40,0.8784318123558063,2025-09-12 16:36:39.831653,2025-09-12 16:36:55.159775,0 days 00:00:15.328122,False,balanced,gini,24.0,0.5,4,4,392,COMPLETE
41,0.8442386567546782,2025-09-12 16:36:41.529216,2025-09-12 16:36:47.134524,0 days 00:00:05.605308,True,,gini,24.0,0.5,5,13,774,PRUNED
42,0.8437419892335299,2025-09-12 16:36:41.636068,2025-09-12 16:36:47.253495,0 days 00:00:05.617427,True,,gini,24.0,0.5,5,12,777,PRUNED
43,0.8833984875672904,2025-09-12 16:36:47.917405,2025-09-12 16:37:09.847330,0 days 00:00:21.929925,False,balanced,entropy,16.0,0.5,2,5,577,COMPLETE
