number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.8114682132786465,2025-09-18 17:25:50.491203,2025-09-18 17:25:55.035687,0 days 00:00:04.544484,True,,gini,16.0,log2,9,35,645,COMPLETE
1,0.857719174570623,2025-09-18 17:25:55.058532,2025-09-18 17:25:58.437629,0 days 00:00:03.379097,False,balanced,gini,24.0,1.0,9,40,485,COMPLETE
2,0.8032043065880543,2025-09-18 17:25:58.457936,2025-09-18 17:26:09.123284,0 days 00:00:10.665348,True,balanced,entropy,16.0,log2,11,43,1629,COMPLETE
3,0.8458023583696488,2025-09-18 17:26:09.143614,2025-09-18 17:26:22.858969,0 days 00:00:13.715355,True,,gini,16.0,1.0,18,42,1927,COMPLETE
4,0.8410119200205075,2025-09-18 17:26:22.878940,2025-09-18 17:26:27.044941,0 days 00:00:04.166001,False,,entropy,,sqrt,5,37,799,COMPLETE
5,0.8199019482184056,2025-09-18 17:26:27.065069,2025-09-18 17:26:39.381350,0 days 00:00:12.316281,True,,entropy,8.0,log2,8,20,1872,PRUNED
6,0.8073923352986412,2025-09-18 17:26:39.400213,2025-09-18 17:26:48.280534,0 days 00:00:08.880321,True,,gini,32.0,sqrt,20,17,1334,COMPLETE
7,0.812852473724686,2025-09-18 17:26:48.301367,2025-09-18 17:26:59.629840,0 days 00:00:11.328473,True,,entropy,16.0,log2,14,36,1729,PRUNED
8,0.8578249166880287,2025-09-18 17:26:59.649195,2025-09-18 17:27:10.789535,0 days 00:00:11.140340,True,,entropy,16.0,0.8,3,35,1529,COMPLETE
9,0.8341707254550116,2025-09-18 17:27:10.810660,2025-09-18 17:27:13.508143,0 days 00:00:02.697483,True,,entropy,12.0,sqrt,1,42,369,COMPLETE
10,0.8761054857728787,2025-09-18 17:27:13.528263,2025-09-18 17:27:21.571785,0 days 00:00:08.043522,False,balanced,entropy,12.0,0.8,1,6,1150,COMPLETE
11,0.8764803896436811,2025-09-18 17:27:21.592773,2025-09-18 17:27:29.197354,0 days 00:00:07.604581,False,balanced,entropy,12.0,0.8,1,5,1106,COMPLETE
12,0.8774769289925661,2025-09-18 17:27:29.218608,2025-09-18 17:27:36.609877,0 days 00:00:07.391269,False,balanced,entropy,12.0,0.8,1,2,1053,COMPLETE
13,0.8673673417072545,2025-09-18 17:27:36.631419,2025-09-18 17:27:42.667453,0 days 00:00:06.036034,False,balanced,entropy,12.0,0.5,6,2,971,COMPLETE
14,0.871987951807229,2025-09-18 17:27:42.687662,2025-09-18 17:27:50.486247,0 days 00:00:07.798585,False,balanced,entropy,12.0,0.8,5,11,1185,COMPLETE
15,0.872885157651884,2025-09-18 17:27:50.506738,2025-09-18 17:27:56.769039,0 days 00:00:06.262301,False,balanced,entropy,12.0,0.8,3,12,916,COMPLETE
16,0.8581261215073057,2025-09-18 17:27:56.788944,2025-09-18 17:28:05.856552,0 days 00:00:09.067608,False,balanced,entropy,,0.8,14,27,1403,COMPLETE
17,0.8524929505255061,2025-09-18 17:28:05.877713,2025-09-18 17:28:10.526542,0 days 00:00:04.648829,False,balanced,entropy,8.0,0.5,3,3,720,COMPLETE
18,0.858667649320687,2025-09-18 17:28:10.547944,2025-09-18 17:28:17.443213,0 days 00:00:06.895269,False,balanced,gini,32.0,0.8,1,50,1031,COMPLETE
19,0.8690047423737504,2025-09-18 17:28:17.465299,2025-09-18 17:28:19.187346,0 days 00:00:01.722047,False,balanced,entropy,24.0,0.8,7,9,200,COMPLETE
20,0.8601512432709562,2025-09-18 17:28:19.207607,2025-09-18 17:28:27.514561,0 days 00:00:08.306954,False,balanced,entropy,12.0,0.8,12,25,1288,COMPLETE
21,0.8760830556267625,2025-09-18 17:28:27.536497,2025-09-18 17:28:35.523893,0 days 00:00:07.987396,False,balanced,entropy,12.0,0.8,1,6,1167,COMPLETE
22,0.8706613688797743,2025-09-18 17:28:35.545450,2025-09-18 17:28:42.855192,0 days 00:00:07.309742,False,balanced,entropy,12.0,0.8,3,15,1090,COMPLETE
23,0.8728819533452962,2025-09-18 17:28:42.876210,2025-09-18 17:28:48.888925,0 days 00:00:06.012715,False,balanced,entropy,12.0,0.8,4,6,866,COMPLETE
24,0.8767335298641374,2025-09-18 17:28:48.909711,2025-09-18 17:28:57.928500,0 days 00:00:09.018789,False,balanced,entropy,12.0,1.0,1,6,1235,COMPLETE
25,0.8769289925660088,2025-09-18 17:28:57.950432,2025-09-18 17:29:08.449162,0 days 00:00:10.498730,False,balanced,entropy,12.0,1.0,2,2,1470,COMPLETE
26,0.8709914124583442,2025-09-18 17:29:08.470318,2025-09-18 17:29:18.426341,0 days 00:00:09.956023,False,balanced,gini,12.0,1.0,6,9,1498,COMPLETE
27,0.8787330171750833,2025-09-18 17:29:18.448612,2025-09-18 17:29:31.334784,0 days 00:00:12.886172,False,balanced,entropy,,1.0,4,2,1784,COMPLETE
28,0.8788259420661368,2025-09-18 17:29:31.356596,2025-09-18 17:29:43.398500,0 days 00:00:12.041904,False,balanced,entropy,,1.0,4,2,1674,COMPLETE
29,0.8615194821840554,2025-09-18 17:29:43.422791,2025-09-18 17:29:55.064331,0 days 00:00:11.641540,False,balanced,gini,,1.0,9,30,1757,COMPLETE
30,0.8704402717251988,2025-09-18 17:29:55.085563,2025-09-18 17:30:08.319529,0 days 00:00:13.233966,False,balanced,entropy,,1.0,5,20,1964,COMPLETE
31,0.880299923096642,2025-09-18 17:30:08.340654,2025-09-18 17:30:20.995373,0 days 00:00:12.654719,False,balanced,entropy,,1.0,3,2,1736,COMPLETE
32,0.8779351448346577,2025-09-18 17:30:21.016920,2025-09-18 17:30:33.151971,0 days 00:00:12.135051,False,balanced,entropy,,1.0,4,10,1745,COMPLETE
33,0.8719302742886439,2025-09-18 17:30:33.173422,2025-09-18 17:30:44.283555,0 days 00:00:11.110133,False,balanced,entropy,,1.0,7,10,1665,COMPLETE
34,0.866341963599077,2025-09-18 17:30:44.305502,2025-09-18 17:30:56.242848,0 days 00:00:11.937346,False,balanced,gini,,1.0,9,16,1809,COMPLETE
35,0.8755799794924378,2025-09-18 17:30:56.265067,2025-09-18 17:31:07.614007,0 days 00:00:11.348940,False,balanced,entropy,,1.0,4,14,1628,COMPLETE
36,0.8787266085619073,2025-09-18 17:31:07.637546,2025-09-18 17:31:20.685111,0 days 00:00:13.047565,False,balanced,entropy,,1.0,4,8,1875,COMPLETE
37,0.865387080235837,2025-09-18 17:31:20.707363,2025-09-18 17:31:35.402434,0 days 00:00:14.695071,True,balanced,entropy,,1.0,11,4,1988,PRUNED
38,0.8714976928992566,2025-09-18 17:31:35.423188,2025-09-18 17:31:47.726341,0 days 00:00:12.303153,False,,gini,,1.0,7,8,1873,COMPLETE
39,0.8356190720328122,2025-09-18 17:31:47.747600,2025-09-18 17:31:58.541410,0 days 00:00:10.793810,True,balanced,entropy,24.0,log2,6,19,1599,PRUNED
40,0.8706036913611894,2025-09-18 17:31:58.561262,2025-09-18 17:32:10.694359,0 days 00:00:12.133097,False,,entropy,,1.0,8,13,1845,COMPLETE
41,0.878774673160728,2025-09-18 17:32:10.715748,2025-09-18 17:32:23.192974,0 days 00:00:12.477226,False,balanced,entropy,,1.0,4,8,1777,COMPLETE
42,0.8787778774673161,2025-09-18 17:32:23.214000,2025-09-18 17:32:36.448014,0 days 00:00:13.234014,False,balanced,entropy,,1.0,4,7,1897,COMPLETE
43,0.8727217380158934,2025-09-18 17:32:36.469715,2025-09-18 17:32:46.340384,0 days 00:00:09.870669,False,balanced,entropy,,sqrt,2,4,1688,COMPLETE
44,0.8672615995898487,2025-09-18 17:32:46.360915,2025-09-18 17:32:56.207955,0 days 00:00:09.847040,False,balanced,entropy,8.0,1.0,5,7,1557,PRUNED
45,0.8558542681363752,2025-09-18 17:32:56.228104,2025-09-18 17:33:08.861012,0 days 00:00:12.632908,True,,entropy,32.0,0.5,17,4,1799,PRUNED
46,0.882610228146629,2025-09-18 17:33:08.880808,2025-09-18 17:33:22.453214,0 days 00:00:13.572406,False,balanced,entropy,16.0,1.0,2,2,1916,COMPLETE
47,0.8560273006921302,2025-09-18 17:33:22.474313,2025-09-18 17:33:33.269382,0 days 00:00:10.795069,False,balanced,entropy,16.0,log2,2,5,1928,COMPLETE
48,0.8699147654447577,2025-09-18 17:33:33.290027,2025-09-18 17:33:48.490212,0 days 00:00:15.200185,True,,entropy,16.0,1.0,3,13,1989,COMPLETE
49,0.8667809536016406,2025-09-18 17:33:48.510966,2025-09-18 17:33:56.351495,0 days 00:00:07.840529,False,balanced,gini,16.0,sqrt,2,18,1410,PRUNED
50,0.8696263778518329,2025-09-18 17:33:56.367747,2025-09-18 17:34:07.596652,0 days 00:00:11.228905,False,balanced,entropy,16.0,1.0,5,22,1686,COMPLETE
51,0.8787362214816714,2025-09-18 17:34:07.617954,2025-09-18 17:34:20.727584,0 days 00:00:13.109630,False,balanced,entropy,,1.0,4,3,1898,COMPLETE
52,0.8805594719302743,2025-09-18 17:34:20.749345,2025-09-18 17:34:33.989599,0 days 00:00:13.240254,False,balanced,entropy,,1.0,3,2,1871,COMPLETE
53,0.8809760317867212,2025-09-18 17:34:34.010464,2025-09-18 17:34:38.416170,0 days 00:00:04.405706,False,balanced,entropy,,1.0,3,7,561,COMPLETE
54,0.8818347859523199,2025-09-18 17:34:38.437871,2025-09-18 17:34:41.481338,0 days 00:00:03.043467,False,balanced,entropy,24.0,0.5,2,2,419,COMPLETE
55,0.8816168931043322,2025-09-18 17:34:41.501431,2025-09-18 17:34:45.091858,0 days 00:00:03.590427,False,balanced,entropy,24.0,0.5,2,2,496,COMPLETE
56,0.8818091514996155,2025-09-18 17:34:45.113081,2025-09-18 17:34:48.964235,0 days 00:00:03.851154,False,balanced,entropy,24.0,0.5,2,4,553,COMPLETE
57,0.8816136887977443,2025-09-18 17:34:48.985226,2025-09-18 17:34:52.665001,0 days 00:00:03.679775,False,balanced,entropy,24.0,0.5,2,5,517,COMPLETE
58,0.876945014098949,2025-09-18 17:34:52.685869,2025-09-18 17:34:56.472687,0 days 00:00:03.786818,False,balanced,entropy,24.0,0.5,2,11,541,COMPLETE
