number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.8647282240904131,2025-09-18 17:37:42.817850,2025-09-18 17:37:47.498348,0 days 00:00:04.680498,True,,gini,16.0,log2,9,35,645,COMPLETE
1,0.9025238364330823,2025-09-18 17:37:47.521864,2025-09-18 17:37:51.027764,0 days 00:00:03.505900,False,balanced,gini,24.0,1.0,9,40,485,COMPLETE
2,0.8539185452461832,2025-09-18 17:37:51.047622,2025-09-18 17:38:02.040701,0 days 00:00:10.993079,True,balanced,entropy,16.0,log2,11,43,1629,COMPLETE
3,0.8926823435945824,2025-09-18 17:38:02.062831,2025-09-18 17:38:16.024624,0 days 00:00:13.961793,True,,gini,16.0,1.0,18,42,1927,COMPLETE
4,0.8947019418595265,2025-09-18 17:38:16.049340,2025-09-18 17:38:20.324873,0 days 00:00:04.275533,False,,entropy,,sqrt,5,37,799,COMPLETE
5,0.8387908910762434,2025-09-18 17:38:20.345274,2025-09-18 17:38:27.891427,0 days 00:00:07.546153,True,,entropy,8.0,log2,8,20,1872,PRUNED
6,0.8465224312120325,2025-09-18 17:38:27.911372,2025-09-18 17:38:33.548780,0 days 00:00:05.637408,True,,gini,32.0,sqrt,20,17,1334,PRUNED
7,0.8399441250040606,2025-09-18 17:38:33.567759,2025-09-18 17:38:40.493864,0 days 00:00:06.926105,True,,entropy,16.0,log2,14,36,1729,PRUNED
8,0.9035825141808143,2025-09-18 17:38:40.510781,2025-09-18 17:38:51.783672,0 days 00:00:11.272891,True,,entropy,16.0,0.8,3,35,1529,COMPLETE
9,0.8892984531070018,2025-09-18 17:38:51.804485,2025-09-18 17:38:54.508588,0 days 00:00:02.704103,True,,entropy,12.0,sqrt,1,42,369,COMPLETE
10,0.9145050703291228,2025-09-18 17:38:54.528934,2025-09-18 17:39:02.341429,0 days 00:00:07.812495,False,balanced,entropy,12.0,0.8,1,6,1150,COMPLETE
11,0.9138800628252559,2025-09-18 17:39:02.362546,2025-09-18 17:39:10.088522,0 days 00:00:07.725976,False,balanced,entropy,12.0,0.8,1,5,1106,COMPLETE
12,0.9143058304593324,2025-09-18 17:39:10.110173,2025-09-18 17:39:17.611180,0 days 00:00:07.501007,False,balanced,entropy,12.0,0.8,1,2,1053,COMPLETE
13,0.9104508469190744,2025-09-18 17:39:17.632066,2025-09-18 17:39:23.767495,0 days 00:00:06.135429,False,balanced,entropy,12.0,0.5,6,2,971,COMPLETE
14,0.9121895827065124,2025-09-18 17:39:23.792680,2025-09-18 17:39:31.906560,0 days 00:00:08.113880,False,balanced,entropy,12.0,0.8,5,10,1216,COMPLETE
15,0.9125504082933957,2025-09-18 17:39:31.928202,2025-09-18 17:39:38.404724,0 days 00:00:06.476522,False,balanced,entropy,12.0,0.8,3,12,954,COMPLETE
16,0.9030715637607919,2025-09-18 17:39:38.426023,2025-09-18 17:39:47.347530,0 days 00:00:08.921507,False,balanced,entropy,,0.8,14,27,1403,COMPLETE
17,0.9122892505603742,2025-09-18 17:39:47.369303,2025-09-18 17:39:51.253771,0 days 00:00:03.884468,False,balanced,entropy,8.0,0.5,3,9,756,PRUNED
18,0.9033506589487301,2025-09-18 17:39:51.273460,2025-09-18 17:39:59.021489,0 days 00:00:07.748029,False,balanced,gini,32.0,0.8,1,50,1160,COMPLETE
19,0.9084220947563608,2025-09-18 17:39:59.042267,2025-09-18 17:40:00.740355,0 days 00:00:01.698088,False,balanced,entropy,24.0,0.8,7,25,200,COMPLETE
20,0.9043457489683169,2025-09-18 17:40:00.760712,2025-09-18 17:40:06.816827,0 days 00:00:06.056115,False,balanced,entropy,12.0,0.8,12,15,913,COMPLETE
21,0.9156504858491324,2025-09-18 17:40:06.837478,2025-09-18 17:40:14.221426,0 days 00:00:07.383948,False,balanced,entropy,12.0,0.8,1,4,1070,COMPLETE
22,0.9136417185400058,2025-09-18 17:40:14.243127,2025-09-18 17:40:22.886711,0 days 00:00:08.643584,False,balanced,entropy,12.0,0.8,3,2,1314,COMPLETE
23,0.9128299122205984,2025-09-18 17:40:22.906839,2025-09-18 17:40:29.951241,0 days 00:00:07.044402,False,balanced,entropy,12.0,0.8,4,6,1036,COMPLETE
24,0.9135658209265257,2025-09-18 17:40:29.973376,2025-09-18 17:40:36.371704,0 days 00:00:06.398328,False,balanced,entropy,12.0,1.0,1,6,817,COMPLETE
25,0.9119295761922835,2025-09-18 17:40:36.393301,2025-09-18 17:40:45.265566,0 days 00:00:08.872265,False,balanced,entropy,12.0,0.5,2,13,1430,COMPLETE
26,0.9173244972874638,2025-09-18 17:40:45.288018,2025-09-18 17:40:51.723962,0 days 00:00:06.435944,False,balanced,gini,12.0,0.8,6,20,1226,PRUNED
27,0.914912940916771,2025-09-18 17:40:51.743456,2025-09-18 17:40:56.405908,0 days 00:00:04.662452,False,balanced,entropy,,0.8,4,8,660,COMPLETE
28,0.9137142806549132,2025-09-18 17:40:56.426652,2025-09-18 17:41:00.732955,0 days 00:00:04.306303,False,balanced,entropy,,0.8,5,8,598,COMPLETE
29,0.9044653955404452,2025-09-18 17:41:00.754161,2025-09-18 17:41:04.960233,0 days 00:00:04.206072,False,balanced,gini,,0.8,9,30,635,COMPLETE
30,0.9013509852419844,2025-09-18 17:41:04.984702,2025-09-18 17:41:08.059432,0 days 00:00:03.074730,False,balanced,entropy,,sqrt,4,17,506,COMPLETE
31,0.9182523108762947,2025-09-18 17:41:08.080089,2025-09-18 17:41:15.466833,0 days 00:00:07.386744,False,balanced,entropy,24.0,0.8,2,2,1039,COMPLETE
32,0.9182187321629449,2025-09-18 17:41:15.488805,2025-09-18 17:41:21.956273,0 days 00:00:06.467468,False,balanced,entropy,24.0,0.8,2,5,877,COMPLETE
33,0.9148729192709382,2025-09-18 17:41:21.977104,2025-09-18 17:41:27.481560,0 days 00:00:05.504456,False,balanced,entropy,24.0,1.0,4,11,744,COMPLETE
34,0.91165308629403,2025-09-18 17:41:27.502188,2025-09-18 17:41:32.557156,0 days 00:00:05.054968,False,balanced,gini,24.0,log2,2,4,867,COMPLETE
35,0.9113104613461445,2025-09-18 17:41:32.579760,2025-09-18 17:41:37.230662,0 days 00:00:04.650902,False,balanced,entropy,24.0,0.8,7,8,680,COMPLETE
36,0.917585765350468,2025-09-18 17:41:37.251912,2025-09-18 17:41:40.768590,0 days 00:00:03.516678,False,balanced,entropy,24.0,1.0,2,4,423,COMPLETE
37,0.9007192916142348,2025-09-18 17:41:40.789178,2025-09-18 17:41:43.492370,0 days 00:00:02.703192,True,balanced,entropy,24.0,1.0,11,14,321,COMPLETE
38,0.9159885730930263,2025-09-18 17:41:43.513039,2025-09-18 17:41:47.694562,0 days 00:00:04.181523,False,,gini,24.0,1.0,2,4,534,COMPLETE
39,0.8943264252483744,2025-09-18 17:41:47.716140,2025-09-18 17:41:51.470559,0 days 00:00:03.754419,True,,gini,24.0,1.0,17,21,464,COMPLETE
40,0.9160617117164719,2025-09-18 17:41:51.492250,2025-09-18 17:41:55.851413,0 days 00:00:04.359163,False,,gini,24.0,1.0,2,2,544,COMPLETE
41,0.9163595937838332,2025-09-18 17:41:55.872445,2025-09-18 17:41:59.739896,0 days 00:00:03.867451,False,,gini,24.0,1.0,2,2,448,COMPLETE
42,0.9164332616844291,2025-09-18 17:41:59.760587,2025-09-18 17:42:02.896951,0 days 00:00:03.136364,False,,gini,24.0,1.0,2,2,374,COMPLETE
43,0.9140121753631499,2025-09-18 17:42:02.917319,2025-09-18 17:42:05.965779,0 days 00:00:03.048460,False,,gini,24.0,1.0,3,7,374,COMPLETE
44,0.9114615893041396,2025-09-18 17:42:05.986333,2025-09-18 17:42:07.806888,0 days 00:00:01.820555,False,,gini,24.0,1.0,5,10,209,COMPLETE
45,0.9104826451201837,2025-09-18 17:42:07.827372,2025-09-18 17:42:11.489172,0 days 00:00:03.661800,True,,gini,24.0,1.0,2,4,430,COMPLETE
46,0.9080241381057197,2025-09-18 17:42:11.510480,2025-09-18 17:42:13.795291,0 days 00:00:02.284811,False,,gini,24.0,1.0,9,2,292,COMPLETE
47,0.8398953968099276,2025-09-18 17:42:13.817358,2025-09-18 17:42:15.243581,0 days 00:00:01.426223,False,,gini,8.0,log2,6,5,405,PRUNED
48,0.8964613219416938,2025-09-18 17:42:15.260205,2025-09-18 17:42:17.462209,0 days 00:00:02.202004,True,,gini,16.0,sqrt,3,16,286,COMPLETE
49,0.8981626815699094,2025-09-18 17:42:17.483327,2025-09-18 17:42:21.423145,0 days 00:00:03.939818,False,,gini,32.0,1.0,20,11,588,COMPLETE
50,0.920053276158919,2025-09-18 17:42:21.444313,2025-09-18 17:42:30.660737,0 days 00:00:09.216424,False,,gini,24.0,1.0,7,7,1749,PRUNED
51,0.9159495255350599,2025-09-18 17:42:30.681404,2025-09-18 17:42:34.924393,0 days 00:00:04.242989,False,,gini,24.0,1.0,2,2,524,COMPLETE
52,0.9165975833841058,2025-09-18 17:42:34.944196,2025-09-18 17:42:40.436844,0 days 00:00:05.492648,False,,gini,24.0,1.0,2,2,739,COMPLETE
53,0.9144042192047095,2025-09-18 17:42:40.457049,2025-09-18 17:42:45.973094,0 days 00:00:05.516045,False,,gini,24.0,1.0,4,4,744,COMPLETE
54,0.9173178287232908,2025-09-18 17:42:45.993661,2025-09-18 17:42:52.275278,0 days 00:00:06.281617,False,,gini,24.0,0.5,1,6,966,COMPLETE
55,0.9172070248401027,2025-09-18 17:42:52.298046,2025-09-18 17:42:58.149844,0 days 00:00:05.851798,False,,gini,24.0,0.5,1,6,899,COMPLETE
56,0.9178929928856837,2025-09-18 17:42:58.171142,2025-09-18 17:43:02.803485,0 days 00:00:04.632343,False,,entropy,16.0,0.5,1,39,957,PRUNED
57,0.9135724263392132,2025-09-18 17:43:02.827301,2025-09-18 17:43:06.838130,0 days 00:00:04.010829,False,,entropy,8.0,0.5,1,9,850,PRUNED
58,0.9135724263392131,2025-09-18 17:43:06.859229,2025-09-18 17:43:11.669009,0 days 00:00:04.809780,False,,gini,32.0,0.5,3,48,1001,PRUNED
59,0.892884305113579,2025-09-18 17:43:11.686325,2025-09-18 17:43:18.298389,0 days 00:00:06.612064,True,balanced,entropy,24.0,0.5,16,6,912,COMPLETE
60,0.9160575682596951,2025-09-18 17:43:18.319460,2025-09-18 17:43:25.587393,0 days 00:00:07.267933,False,,entropy,24.0,0.5,1,12,1127,COMPLETE
61,0.916002490961166,2025-09-18 17:43:25.610222,2025-09-18 17:43:30.672172,0 days 00:00:05.061950,False,,gini,24.0,0.5,3,5,779,COMPLETE
62,0.9163336906734236,2025-09-18 17:43:30.693388,2025-09-18 17:43:36.488406,0 days 00:00:05.795018,False,,gini,24.0,0.5,2,33,1236,PRUNED
63,0.91113456986058,2025-09-18 17:43:36.505998,2025-09-18 17:43:40.405730,0 days 00:00:03.899732,False,,gini,24.0,log2,1,7,706,COMPLETE
64,0.9082292713737076,2025-09-18 17:43:40.426668,2025-09-18 17:43:45.928368,0 days 00:00:05.501700,False,,gini,24.0,sqrt,4,3,1003,COMPLETE
65,0.9118927337001388,2025-09-18 17:43:45.949105,2025-09-18 17:43:51.560408,0 days 00:00:05.611303,False,balanced,gini,24.0,0.5,5,5,887,COMPLETE
66,0.9162457793624817,2025-09-18 17:43:51.582074,2025-09-18 17:43:58.519300,0 days 00:00:06.937226,False,balanced,entropy,24.0,0.5,2,10,1077,COMPLETE
67,0.9139135245443961,2025-09-18 17:43:58.541016,2025-09-18 17:44:04.106860,0 days 00:00:05.565844,False,,gini,24.0,0.8,3,9,818,COMPLETE
68,0.9074281169222361,2025-09-18 17:44:04.128838,2025-09-18 17:44:09.536845,0 days 00:00:05.408007,False,balanced,entropy,16.0,log2,1,6,941,COMPLETE
69,0.9118994250073091,2025-09-18 17:44:09.557227,2025-09-18 17:44:15.271980,0 days 00:00:05.714753,False,balanced,entropy,8.0,0.5,3,3,1167,PRUNED
70,0.9158824624124632,2025-09-18 17:44:15.292438,2025-09-18 17:44:22.277700,0 days 00:00:06.985262,False,,gini,32.0,sqrt,1,8,1313,COMPLETE
71,0.9161921156734657,2025-09-18 17:44:22.298580,2025-09-18 17:44:26.024706,0 days 00:00:03.726126,False,,gini,24.0,1.0,2,3,467,COMPLETE
72,0.9165957054472113,2025-09-18 17:44:26.045672,2025-09-18 17:44:40.463593,0 days 00:00:14.417921,False,,gini,24.0,1.0,2,3,1996,COMPLETE
73,0.9158696426608618,2025-09-18 17:44:40.484527,2025-09-18 17:44:54.185139,0 days 00:00:13.700612,False,,gini,24.0,1.0,3,5,1969,COMPLETE
74,0.9046033070666525,2025-09-18 17:44:54.206130,2025-09-18 17:45:00.964130,0 days 00:00:06.758000,False,,gini,24.0,1.0,13,7,1020,COMPLETE
75,0.9138488414500288,2025-09-18 17:45:00.986097,2025-09-18 17:45:10.867208,0 days 00:00:09.881111,False,balanced,gini,24.0,0.8,4,3,1490,COMPLETE
76,0.908657541583746,2025-09-18 17:45:10.888634,2025-09-18 17:45:22.784444,0 days 00:00:11.895810,False,,entropy,24.0,1.0,10,5,1873,COMPLETE
77,0.9169170814539817,2025-09-18 17:45:22.807407,2025-09-18 17:45:28.992535,0 days 00:00:06.185128,False,balanced,gini,24.0,0.8,2,3,833,COMPLETE
78,0.9207354708767825,2025-09-18 17:45:29.013813,2025-09-18 17:45:34.230940,0 days 00:00:05.217127,True,balanced,entropy,24.0,0.8,1,13,846,PRUNED
79,0.9166307796977557,2025-09-18 17:45:34.249599,2025-09-18 17:45:39.342897,0 days 00:00:05.093298,False,balanced,gini,24.0,0.8,2,4,710,COMPLETE
80,0.8977403404063949,2025-09-18 17:45:39.362912,2025-09-18 17:45:43.922569,0 days 00:00:04.559657,False,balanced,entropy,24.0,0.8,19,9,721,COMPLETE
81,0.9164904046289172,2025-09-18 17:45:43.942721,2025-09-18 17:45:48.590197,0 days 00:00:04.647476,False,balanced,gini,24.0,0.8,2,4,618,COMPLETE
82,0.9152200676423285,2025-09-18 17:45:48.610420,2025-09-18 17:45:54.650683,0 days 00:00:06.040263,False,balanced,gini,24.0,0.8,1,6,823,COMPLETE
83,0.9135009577922444,2025-09-18 17:45:54.671682,2025-09-18 17:46:00.922482,0 days 00:00:06.250800,False,balanced,gini,,0.8,4,3,907,COMPLETE
84,0.9191924113959004,2025-09-18 17:46:00.944358,2025-09-18 17:46:09.525029,0 days 00:00:08.580671,False,balanced,gini,24.0,0.8,2,23,1617,PRUNED
85,0.9147267131091368,2025-09-18 17:46:09.544197,2025-09-18 17:46:15.028880,0 days 00:00:05.484683,False,balanced,gini,24.0,0.8,3,7,773,COMPLETE
86,0.9163944780510136,2025-09-18 17:46:15.049893,2025-09-18 17:46:20.017955,0 days 00:00:04.968062,False,balanced,gini,24.0,0.8,2,4,675,COMPLETE
87,0.9164094373897607,2025-09-18 17:46:20.039827,2025-09-18 17:46:27.071855,0 days 00:00:07.032028,False,balanced,gini,24.0,0.8,1,2,953,COMPLETE
88,0.9169434367798039,2025-09-18 17:46:27.093524,2025-09-18 17:46:34.243100,0 days 00:00:07.149576,False,balanced,entropy,24.0,0.8,3,6,1050,COMPLETE
