number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_best_iteration,state
0,,2025-09-09 21:26:19.310036,2025-09-09 21:26:19.566603,0 days 00:00:00.256567,balanced,0.8597700929983043,0.0020181598627040916,8,77,3.125210335042322,1981,74,5.764461884032051e-05,0.03686520832606818,0.8846348570661277,,FAIL
1,,2025-09-09 21:26:19.318087,2025-09-09 21:26:19.511733,0 days 00:00:00.193646,balanced,0.6686908425337366,0.004411121103230006,10,153,1.2749532214819386,575,46,0.014246783234740991,0.42476088998130934,0.6872284641169651,,FAIL
2,,2025-09-09 21:26:19.329122,2025-09-09 21:26:19.685139,0 days 00:00:00.356017,balanced,0.6141050832296652,0.12961076411570166,6,68,2.7713133189486934,578,177,0.004581282741037737,0.0035696711349689804,0.6805684522129677,,FAIL
3,,2025-09-09 21:26:19.342959,2025-09-09 21:26:19.724978,0 days 00:00:00.382019,,0.8795727762519683,0.006298379032406683,10,80,3.937702399634059,638,162,0.0006152431089756023,0.006247499992367664,0.9539184480458629,,FAIL
4,,2025-09-09 21:26:19.311329,2025-09-09 21:26:19.634033,0 days 00:00:00.322704,,0.8913125815777536,0.009177800106554095,8,98,4.676495875083962,617,98,0.04381627688759649,0.0008085721929246007,0.8601197778172984,,FAIL
5,0.8449078660549159,2025-09-09 21:33:26.167829,2025-09-09 21:33:36.724549,0 days 00:00:10.556720,,0.8211872447699706,0.03382436947586489,8,184,4.251568284996903,1377,70,2.1692854529319123e-06,0.00031662650807194934,0.7219814090793364,149.2,COMPLETE
6,0.8311332763658272,2025-09-09 21:33:26.170868,2025-09-09 21:34:17.893368,0 days 00:00:51.722500,,0.7229562602514419,0.0017211566402117904,12,158,2.7041090713265103,1247,102,2.9113857555288068e-06,5.4996167260890085e-06,0.643560700002231,889.6,COMPLETE
7,0.862082531523672,2025-09-09 21:33:26.192234,2025-09-09 21:34:25.715722,0 days 00:00:59.523488,,0.8344006457791856,0.005566310341255518,10,124,2.344265942499726,1001,166,6.228485197802466e-07,1.967859019191193e-07,0.7602627201389835,943.2,COMPLETE
8,0.8736085266691738,2025-09-09 21:33:26.200322,2025-09-09 21:34:23.191991,0 days 00:00:56.991669,,0.7122387021913554,0.01332712028786881,16,100,0.6715686853873976,2377,120,0.0016223476011219143,2.7630125776624154e-08,0.9916414047419468,703.0,COMPLETE
9,0.8477864230081364,2025-09-09 21:33:26.208801,2025-09-09 21:34:49.106622,0 days 00:01:22.897821,balanced,0.7676480052024676,0.002968242255908175,10,199,1.4092144933411062,2643,169,1.3301575607783619e-06,2.5699771376689e-06,0.820211041947016,1685.6,COMPLETE
10,0.8709303820665945,2025-09-09 21:33:37.015393,2025-09-09 21:35:18.613604,0 days 00:01:41.598211,,0.7754522595879237,0.004642562235963038,8,58,1.3257391360868325,1401,176,0.07154864114972898,0.12071677574051005,0.7399145548104946,1190.6,COMPLETE
11,0.8549448383408176,2025-09-09 21:34:18.097232,2025-09-09 21:35:34.895762,0 days 00:01:16.798530,,0.8245411573137846,0.0024039930218710797,-1,15,1.1279384755195732,572,185,0.0029900153427279887,0.1960080533986492,0.6707448886162395,376.8,COMPLETE
12,0.8556403026985052,2025-09-09 21:34:23.406550,2025-09-09 21:35:05.591817,0 days 00:00:42.185267,balanced,0.9622751910528894,0.006004713360810792,16,87,4.435852899291721,633,31,1.236891751464547e-08,0.0691516623127145,0.8215347174124001,618.6,COMPLETE
13,0.8536795831976554,2025-09-09 21:34:26.002595,2025-09-09 21:34:54.417413,0 days 00:00:28.414818,,0.9966782745114738,0.0025152226594492163,4,21,0.7217437595638804,2125,36,1.6411846786109778,0.025792101588661347,0.847639781451508,,PRUNED
14,0.8056984695538912,2025-09-09 21:34:49.409323,2025-09-09 21:34:55.896286,0 days 00:00:06.486963,,0.9876675625917123,0.0011102336664380438,16,171,2.562194852399738,465,238,1.3784008677131803e-05,3.0779640698651934e-07,0.722877569278355,,PRUNED
15,0.8723623304751522,2025-09-09 21:34:54.797034,2025-09-09 21:37:54.822428,0 days 00:03:00.025394,,0.8686209155374671,0.006005203145022141,16,15,0.22145965951587965,2086,84,2.6991125239242247e-06,2.6305965196326302e-08,0.9813497100036159,563.0,COMPLETE
16,0.8491208075545424,2025-09-09 21:34:56.093680,2025-09-09 21:35:15.516191,0 days 00:00:19.422511,,0.9092923176569827,0.0016837397125447015,14,53,2.049946311616113,989,205,0.0009229313937382457,1.4043842705844355e-06,0.86274015043089,,PRUNED
17,0.8408498860306091,2025-09-09 21:35:05.792142,2025-09-09 21:35:12.192557,0 days 00:00:06.400415,,0.881366893237868,0.009465710218042931,-1,177,4.303558936783041,1325,84,0.2910132887861283,4.256595016500193e-06,0.9908762810233174,,PRUNED
18,0.8738201934185087,2025-09-09 21:35:12.301495,2025-09-09 21:37:09.596786,0 days 00:01:57.295291,balanced,0.6018351539249928,0.006330575074839361,10,24,0.7125000577036056,1269,161,3.383176396001875e-06,0.006427294925379859,0.7620959137184122,693.8,COMPLETE
19,0.8713658393811459,2025-09-09 21:35:15.804893,2025-09-09 21:35:31.419565,0 days 00:00:15.614672,balanced,0.6350190575418173,0.16207966604413004,6,106,0.11932940363812017,2961,131,0.015145783879897585,1.4728061653440536e-08,0.9959965163816741,87.0,COMPLETE
20,0.8738825619104322,2025-09-09 21:35:18.895093,2025-09-09 21:36:14.903197,0 days 00:00:56.008104,balanced,0.6070761066535021,0.027446980427361666,8,75,0.3877462633896074,2106,135,0.010830827450452586,6.177242985019453,0.9739810599775185,499.2,COMPLETE
21,0.8659704829955739,2025-09-09 21:35:31.702244,2025-09-09 21:35:50.795784,0 days 00:00:19.093540,balanced,0.6098798811676962,0.115090034299715,6,120,0.14355879422213913,2952,125,0.004089187689515155,1.1158717542795367e-08,0.9981061326659778,144.2,COMPLETE
22,0.8697390865161921,2025-09-09 21:35:35.200254,2025-09-09 21:35:49.714292,0 days 00:00:14.514038,balanced,0.6044529035001538,0.17228105406841565,6,120,0.0011743109243758099,2903,128,0.018759060794115105,1.2153722798479263e-08,0.9783864452201237,96.2,COMPLETE
23,0.8738615470635178,2025-09-09 21:35:50.004263,2025-09-09 21:37:01.891598,0 days 00:01:11.887335,balanced,0.6486052308295485,0.024853899240156956,6,95,0.016355494000517723,2270,132,0.00012351508511063595,2.3354672745708468e-08,0.9370835734423886,535.4,COMPLETE
24,0.8557147508954739,2025-09-09 21:35:51.117086,2025-09-09 21:35:56.311993,0 days 00:00:05.194907,balanced,0.670544146672437,0.026041432920522606,16,81,3.372158249013309,2309,143,6.759443442747928e-05,0.0003576320488409941,0.9199318546778656,,PRUNED
25,0.8402149137088896,2025-09-09 21:35:56.506263,2025-09-09 21:36:00.408726,0 days 00:00:03.902463,balanced,0.6829076745476276,0.05648598812343137,6,142,0.693286051846067,1995,67,9.463474140557153,5.336813078277854e-05,0.9273887168050701,,PRUNED
26,0.8932852548484553,2025-09-09 21:36:00.612798,2025-09-09 21:37:56.803770,0 days 00:01:56.190972,balanced,0.6627810448610069,0.017241624524783093,14,97,0.6010905462247664,2545,105,7.864845858149883e-05,8.35858804785557,0.9162354742761651,,PRUNED
27,0.8732560577057755,2025-09-09 21:36:15.203708,2025-09-09 21:37:33.413867,0 days 00:01:18.210159,balanced,0.7168061067697846,0.015405797112781406,8,56,0.7828327069160349,1706,225,0.00013274623685022812,6.456929352088477,0.9383431653584978,632.6,COMPLETE
28,0.8579941387170302,2025-09-09 21:37:02.599788,2025-09-09 21:37:12.801553,0 days 00:00:10.201765,balanced,0.6556120366217528,0.023595252666114373,8,58,1.8619768613998482,1837,220,0.00015313524575847823,6.053246239336109,0.9258526634246588,,PRUNED
29,0.8604363399544123,2025-09-09 21:37:09.895271,2025-09-09 21:37:19.297519,0 days 00:00:09.402248,balanced,0.6613956797177808,0.024247349409334464,8,61,1.826327319107269,1733,207,0.0001068982976468017,4.524870764230564,0.9211397015952316,,PRUNED
30,0.8764060937989122,2025-09-09 21:37:12.915954,2025-09-09 21:37:38.506866,0 days 00:00:25.590912,balanced,0.6250504774462212,0.06722681523284767,10,48,0.5894783448615498,1589,150,1.9889134847497818e-05,0.002536627774702607,0.8828522347796002,118.8,COMPLETE
31,0.8755297005404149,2025-09-09 21:37:19.607288,2025-09-09 21:37:53.915971,0 days 00:00:34.308683,balanced,0.6062300732965228,0.04900878539356481,10,35,0.4991359222891286,2490,151,5.692059173851826e-08,0.004424037277943132,0.776510388127929,126.6,COMPLETE
32,0.8773998635610565,2025-09-09 21:37:33.811680,2025-09-09 21:37:54.300158,0 days 00:00:20.488478,balanced,0.6275969643149881,0.06077000720594036,10,36,0.34511281968473034,2433,150,5.012746237046352e-08,0.002330569441848082,0.8711050374804903,,PRUNED
33,0.8678443503744708,2025-09-09 21:37:38.809613,2025-09-09 21:37:46.891440,0 days 00:00:08.081827,balanced,0.6929153400958232,0.05371460101269963,14,38,0.4255672891362912,2450,148,2.5420057503666425e-07,0.002360651221526078,0.8802505990944869,,PRUNED
34,0.8781795146671865,2025-09-09 21:37:47.208868,2025-09-09 21:37:57.320553,0 days 00:00:10.111685,balanced,0.6363051575019026,0.05101508678817369,4,80,1.2449221712940504,2057,105,1.5460584794618655e-05,0.5533691683620053,0.8829663634472562,,PRUNED
35,0.8647020514490393,2025-09-09 21:37:54.211885,2025-09-09 21:37:57.597494,0 days 00:00:03.385609,balanced,0.6225335594828861,0.08213082057793168,10,77,1.1637246107317156,1564,102,4.449305044120931e-08,1.0009494970049382,0.8821682597541582,,PRUNED
36,0.8594106154347118,2025-09-09 21:37:54.611256,2025-09-09 21:37:57.729147,0 days 00:00:03.117891,balanced,0.7479567198963741,0.07917787467310683,10,6,3.1292315084101006,2658,104,1.9553480244278065e-05,1.0312284274555807,0.7868337617159217,,PRUNED
37,0.8676815369586455,2025-09-09 21:37:55.297136,2025-09-09 21:37:57.774559,0 days 00:00:02.477423,balanced,0.751508031896032,0.09334674276281481,10,75,1.1946349491313901,2660,110,9.412914995043364e-08,0.49207502318499957,0.7925413680129033,,PRUNED
