number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_best_iteration,state
0,0.8533198576313751,2025-09-10 11:49:31.634814,2025-09-10 11:49:35.886223,0 days 00:00:04.251409,balanced,0.6449334732160653,0.15929174263207457,4,86,4.920737368705296,2387,54,1.0927886182460592e-07,3.0675579885957636e-08,0.7548765101379608,34.4,COMPLETE
1,0.8035766494493715,2025-09-10 11:49:31.636091,2025-09-10 11:50:06.397951,0 days 00:00:34.761860,balanced,0.6324896018244938,0.0011195101538129908,-1,173,3.9075604062791554,1585,82,7.146652520683245e-08,9.281257956442075e-05,0.9755142059902676,,PRUNED
2,0.8539461600051528,2025-09-10 11:49:31.665192,2025-09-10 11:49:36.591797,0 days 00:00:04.926605,balanced,0.7731295927462293,0.17002620903673965,12,194,2.3349100995398624,1747,189,3.254624044836775e-08,0.02966972245828817,0.8685068930080888,46.0,COMPLETE
3,0.8587716217279319,2025-09-10 11:49:31.675044,2025-09-10 11:50:04.584050,0 days 00:00:32.909006,balanced,0.7198625643752309,0.003085262084794091,-1,20,4.007513420085383,847,39,2.850655393317428e-08,1.9319943769557416e-08,0.9856980652264485,443.8,COMPLETE
4,0.86348803532692,2025-09-10 11:49:31.690299,2025-09-10 11:49:41.191426,0 days 00:00:09.501127,balanced,0.7921310344379895,0.06401089911746513,4,135,0.31140252851197314,2576,88,3.8842149405902675,0.0699548276609689,0.989670042293518,231.4,COMPLETE
5,0.8581100076244047,2025-09-10 11:49:35.996060,2025-09-10 11:49:49.090258,0 days 00:00:13.094198,,0.6648010129493845,0.016510713021079693,10,38,4.107988999926354,1696,119,9.815187670762208e-08,3.111671238745975e-05,0.7758052824207611,205.6,COMPLETE
6,0.8538658724642735,2025-09-10 11:49:36.776555,2025-09-10 11:49:54.592917,0 days 00:00:17.816362,,0.6110551498989355,0.010910953724814546,8,52,4.599814499767161,557,97,6.232261128056316e-06,0.00020801628467157773,0.6747295553599315,315.6,COMPLETE
7,0.8590982974877779,2025-09-10 11:49:41.378604,2025-09-10 11:49:55.178927,0 days 00:00:13.800323,balanced,0.8752628642320845,0.01943005380739095,6,37,4.030653351794205,2292,82,1.47143171377958e-07,0.5910540806068654,0.7304850112974818,187.0,COMPLETE
8,0.883101062274632,2025-09-10 11:49:49.283678,2025-09-10 11:51:46.898315,0 days 00:01:57.614637,balanced,0.9313825086526829,0.004450199211399246,6,117,0.13225802811519694,2712,194,0.00039012348003900966,0.38494665791988747,0.9031751974886763,,PRUNED
9,0.8853750446675113,2025-09-10 11:49:54.781036,2025-09-10 11:50:47.175229,0 days 00:00:52.394193,,0.930771188907896,0.0045684658902243585,12,105,0.34562096673954934,916,231,3.0307464002408265e-06,0.0002857291565485165,0.8605643683335693,,PRUNED
10,0.8509117551286227,2025-09-10 11:49:55.285431,2025-09-10 11:49:56.896642,0 days 00:00:01.611211,balanced,0.9586732437211725,0.12232850181613723,8,66,3.787316375081955,1431,49,0.05560543450688424,0.00033479420251509326,0.6441769269855686,,PRUNED
11,0.8493161836535331,2025-09-10 11:49:57.083018,2025-09-10 11:49:58.978006,0 days 00:00:01.894988,,0.9430186479473971,0.06979865973545325,14,110,4.645951749202096,2351,97,0.012896447518842257,7.31266722944874e-07,0.6984647352399436,,PRUNED
12,0.8645193775785335,2025-09-10 11:49:59.094185,2025-09-10 11:50:03.392832,0 days 00:00:04.298647,,0.8886918945039479,0.05983435748461835,10,171,2.8061721959120627,759,200,0.00010348707048582363,0.03459591075648236,0.8445093446190998,,PRUNED
13,0.8327906219472483,2025-09-10 11:50:03.588630,2025-09-10 11:50:16.480977,0 days 00:00:12.892347,,0.837643255237591,0.003446574784434081,6,160,0.6388371534760545,1354,83,7.233075204525702,2.0992233091204765e-07,0.69396294996429,,PRUNED
