number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_best_iteration,state
0,0.8640476800820303,2025-09-12 15:51:10.864116,2025-09-12 15:52:24.209815,0 days 00:01:13.345699,,0.8216368545526544,0.002874675488715482,14,88,2.29486736746104,1785,59,0.0373379334518055,0.0007419011126774621,0.9415654540678955,1356.6,COMPLETE
1,0.8563076775185848,2025-09-12 15:51:10.868782,2025-09-12 15:51:16.717667,0 days 00:00:05.848885,,0.6181565017459681,0.10259441205908398,14,143,3.6117276585194324,1314,61,2.7117828313819056e-05,0.5939163113225847,0.6058945280208679,56.6,COMPLETE
2,0.8693508074852602,2025-09-12 15:51:10.890199,2025-09-12 15:51:23.293037,0 days 00:00:12.402838,,0.907848114095497,0.02855579328152468,12,132,1.9352895373490275,1276,104,0.04327077603367185,0.056831081460719884,0.9847657162890759,243.6,COMPLETE
3,0.8585651115098691,2025-09-12 15:51:10.904656,2025-09-12 15:51:21.408519,0 days 00:00:10.503863,balanced,0.7683285791664453,0.02040842220598584,-1,151,3.5027534098392294,2074,89,0.16740221641422173,2.9360837180581337e-06,0.6273887697456321,250.4,COMPLETE
4,0.8716739297615996,2025-09-12 15:51:10.918712,2025-09-12 15:54:48.395846,0 days 00:03:37.477134,balanced,0.8600501268784198,0.0017883752921110587,12,32,1.5343876747953644,1831,197,0.0004936052321259438,0.0008980175945841128,0.8968945427741458,1573.8,COMPLETE
5,0.8558190207639067,2025-09-12 15:51:16.910379,2025-09-12 15:51:30.714536,0 days 00:00:13.804157,,0.6611760256090804,0.015416767168610734,10,94,4.0330948516419305,2554,115,1.937446107028706e-08,1.614621094814142e-07,0.7176721160754432,267.4,COMPLETE
6,0.8317899256600872,2025-09-12 15:51:21.595958,2025-09-12 15:51:36.294392,0 days 00:00:14.698434,,0.7195985749191025,0.001991716557998729,12,126,1.8479856792684524,808,239,0.01069619071017143,1.4504463462588921e-05,0.859934957714559,,PRUNED
7,0.8586580364009228,2025-09-12 15:51:23.405219,2025-09-12 15:51:32.605080,0 days 00:00:09.199861,,0.9895121355985785,0.0428180718785241,10,23,3.7518585703894014,2815,179,4.06076899417668e-06,0.0051740689139331076,0.8048808735632166,69.2,COMPLETE
8,0.810200910023071,2025-09-12 15:51:30.914373,2025-09-12 15:51:33.116518,0 days 00:00:02.202145,balanced,0.6599267209912417,0.0017944650078594404,4,44,0.5258260351778316,845,185,0.04246678119869387,2.0682369190805786e-08,0.8488697799617976,,PRUNED
9,0.8649320687003332,2025-09-12 15:51:32.797318,2025-09-12 15:51:43.593982,0 days 00:00:10.796664,,0.9906485508691056,0.047441836558051884,4,171,2.1856750211371567,2181,202,3.8796960524353176e-05,0.01891233154300275,0.6932777393438173,197.4,COMPLETE
10,0.8405216611125352,2025-09-12 15:51:33.290461,2025-09-12 15:51:41.309609,0 days 00:00:08.019148,balanced,0.7763916097184753,0.012528891581167465,6,138,3.6408279096108886,2728,184,0.48581249607858074,0.0001579356259783066,0.9187649111427707,,PRUNED
11,0.8306203537554473,2025-09-12 15:51:36.409208,2025-09-12 15:51:39.103057,0 days 00:00:02.693849,,0.8129848038094196,0.020886990966045446,4,106,4.796195431319479,2381,213,0.029529705618422535,2.2718375249640722e-08,0.6262285764780482,,PRUNED
