number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_best_iteration,state
0,0.8650634452704434,2025-09-19 01:41:05.306034,2025-09-19 01:45:25.978314,0 days 00:04:20.672280,balanced,0.87402394274393,0.0037063592723704996,6,122,2.405423432745213,2766,104,7.824609586435576e-05,0.00014576608437084614,0.6184850312768009,1553.4,COMPLETE
1,0.8538387592924892,2025-09-19 01:45:26.147197,2025-09-19 01:45:44.212818,0 days 00:00:18.065621,,0.854591065076597,0.002544720365935902,10,104,3.564236037218924,1180,53,0.09660366235740579,5.9230947282732514e-05,0.7286080025323822,1179.6,COMPLETE
2,0.8615899769289925,2025-09-19 01:45:44.297675,2025-09-19 01:45:59.521100,0 days 00:00:15.223425,,0.6833716870979617,0.006918210603543982,10,151,2.7086162573144823,1868,145,3.388411505560342e-08,0.48493429083438233,0.679356189859551,832.2,COMPLETE
3,0.8572769802614714,2025-09-19 01:45:59.678868,2025-09-19 01:46:18.239858,0 days 00:00:18.560990,balanced,0.7014486443901335,0.016514294444128736,4,57,4.120440149330858,2672,182,2.8201909574829965e-05,7.792615524170581e-05,0.7179520238691066,303.6,COMPLETE
4,0.869164957703153,2025-09-19 01:46:18.389607,2025-09-19 01:46:28.571150,0 days 00:00:10.181543,balanced,0.6057796668783955,0.019310253506964255,-1,166,1.1962302055266205,2267,132,0.13501333432750548,0.12603003314564257,0.9434847307442358,564.2,COMPLETE
5,0.8624567418610611,2025-09-19 01:46:28.616489,2025-09-19 01:49:02.647678,0 days 00:02:34.031189,balanced,0.8014744533254672,0.004257675011452919,8,108,1.1546438913521366,1437,154,0.7677844081127358,6.13765609649083e-07,0.7585292483496953,1087.2,COMPLETE
6,0.7601816841835427,2025-09-19 01:49:02.785126,2025-09-19 01:49:02.986577,0 days 00:00:00.201451,balanced,0.978792484796587,0.0064287411658023605,10,12,1.8566125060328336,1299,206,2.4254564657867728,5.1867929308117285e-05,0.8483825879337212,,PRUNED
7,0.8458087669828249,2025-09-19 01:49:03.015690,2025-09-19 01:49:07.362030,0 days 00:00:04.346340,balanced,0.6700242791723658,0.15542795757614375,12,40,4.35612801863897,1094,192,0.0014453883660861038,5.9996043341530385e-06,0.9927057787211634,28.0,COMPLETE
8,0.772646436811074,2025-09-19 01:49:07.399976,2025-09-19 01:49:07.584602,0 days 00:00:00.184626,balanced,0.9486578751568846,0.04289953115193647,4,148,0.4732871335443928,757,173,0.02625789581914949,0.04708257202362771,0.6878668443609964,,PRUNED
9,0.8537971033068443,2025-09-19 01:49:07.614533,2025-09-19 01:49:21.856553,0 days 00:00:14.242020,,0.9240816331255014,0.016072981145834345,10,32,3.9132715386905934,2217,181,0.020275673462694637,2.0799608956333822e-07,0.7174012622716144,216.2,COMPLETE
