number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_best_iteration,state
0,0.8795688751735569,2025-09-19 01:14:52.527792,2025-09-19 01:17:08.094720,0 days 00:02:15.566928,balanced,0.87402394274393,0.0037063592723704996,6,122,2.405423432745213,2766,104,7.824609586435576e-05,0.00014576608437084614,0.6184850312768009,876.8,COMPLETE
1,0.8762375298426471,2025-09-19 01:17:08.251602,2025-09-19 01:18:14.807324,0 days 00:01:06.555722,,0.854591065076597,0.002544720365935902,10,104,3.564236037218924,1180,53,0.09660366235740579,5.9230947282732514e-05,0.7286080025323822,592.8,COMPLETE
2,0.8917798884478193,2025-09-19 01:18:14.955991,2025-09-19 01:19:23.815403,0 days 00:01:08.859412,,0.6833716870979617,0.006918210603543982,10,151,2.7086162573144823,1868,145,3.388411505560342e-08,0.48493429083438233,0.679356189859551,725.2,COMPLETE
3,0.8982004171742719,2025-09-19 01:19:23.867656,2025-09-19 01:19:35.524986,0 days 00:00:11.657330,balanced,0.7014486443901335,0.016514294444128736,4,57,4.120440149330858,2672,182,2.8201909574829965e-05,7.792615524170581e-05,0.7179520238691066,278.8,COMPLETE
4,0.8969976941668328,2025-09-19 01:19:35.559229,2025-09-19 01:20:15.515487,0 days 00:00:39.956258,balanced,0.6057796668783955,0.019310253506964255,-1,166,1.1962302055266205,2267,132,0.13501333432750548,0.12603003314564257,0.9434847307442358,487.4,COMPLETE
5,0.853931943992185,2025-09-19 01:20:15.552292,2025-09-19 01:20:16.832152,0 days 00:00:01.279860,balanced,0.8014744533254672,0.004257675011452919,8,108,1.1546438913521366,1437,154,0.7677844081127358,6.13765609649083e-07,0.7585292483496953,,PRUNED
6,0.8335558450016282,2025-09-19 01:20:16.856361,2025-09-19 01:20:17.029970,0 days 00:00:00.173609,balanced,0.978792484796587,0.0064287411658023605,10,12,1.8566125060328336,1299,206,2.4254564657867728,5.1867929308117285e-05,0.8483825879337212,,PRUNED
7,0.896241362037704,2025-09-19 01:20:17.054482,2025-09-19 01:20:20.703457,0 days 00:00:03.648975,balanced,0.6700242791723658,0.15542795757614375,12,40,4.35612801863897,1094,192,0.0014453883660861038,5.9996043341530385e-06,0.9927057787211634,21.6,COMPLETE
8,0.9008723663728049,2025-09-19 01:20:20.735232,2025-09-19 01:21:00.849119,0 days 00:00:40.113887,balanced,0.9486578751568846,0.04289953115193647,4,148,0.4732871335443928,757,173,0.02625789581914949,0.04708257202362771,0.6878668443609964,442.0,COMPLETE
9,0.8982575612294644,2025-09-19 01:21:00.894795,2025-09-19 01:21:13.736493,0 days 00:00:12.841698,,0.9240816331255014,0.016072981145834345,10,32,3.9132715386905934,2217,181,0.020275673462694637,2.0799608956333822e-07,0.7174012622716144,189.6,COMPLETE
10,0.7647671768153695,2025-09-19 01:21:13.778382,2025-09-19 01:21:13.944765,0 days 00:00:00.166383,,0.9995013220949882,0.06433513654116936,4,198,0.7176262789638843,412,18,1.059692165714657e-06,0.008302908915673118,0.835400523794058,,PRUNED
11,0.9080008530845424,2025-09-19 01:21:13.974419,2025-09-19 01:21:27.674246,0 days 00:00:13.699827,,0.9277487378158286,0.03934433466508349,14,65,0.01670710329654268,481,221,0.004204855649203565,3.03953920549495e-08,0.6065961179635668,174.8,COMPLETE
12,0.9056939733162018,2025-09-19 01:21:27.706962,2025-09-19 01:21:47.249548,0 days 00:00:19.542586,,0.9216812142379108,0.04590361556268876,14,81,0.2964213147683151,467,246,0.002943613848783783,6.223140961198823,0.6143699115673074,273.4,COMPLETE
13,0.9097472336925383,2025-09-19 01:21:47.282479,2025-09-19 01:22:03.867724,0 days 00:00:16.585245,,0.8944268224406801,0.05104517028772881,14,72,0.07416551924720213,463,252,0.001217389229457197,6.6630572826980465,0.6012888276581213,219.8,COMPLETE
14,0.9025952783231425,2025-09-19 01:22:03.900941,2025-09-19 01:22:07.659199,0 days 00:00:03.758258,,0.8496605495297479,0.1632878164526525,14,79,0.016337079690635217,827,253,3.757127169407474e-06,1.5409202459765153e-08,0.6013303696987823,49.0,COMPLETE
15,0.9031395375024251,2025-09-19 01:22:07.691470,2025-09-19 01:22:10.903154,0 days 00:00:03.211684,,0.7939542148807025,0.08045652636599299,16,69,1.3324522196542061,774,222,0.0005123951494146148,0.004757005143019936,0.65644900997931,61.2,COMPLETE
16,0.7866167372191468,2025-09-19 01:22:10.935109,2025-09-19 01:22:11.124495,0 days 00:00:00.189386,,0.8937468535613733,0.029008034915410316,14,7,4.933100526573925,1668,223,8.768934584290529,1.060119035207281e-08,0.8047902027492041,,PRUNED
17,0.9023497367783664,2025-09-19 01:22:11.149178,2025-09-19 01:22:14.988677,0 days 00:00:03.839499,,0.8044933851871321,0.09414577185451162,14,45,1.870058361260207,915,106,0.006591306218231248,0.0018865682500862559,0.6513421383527612,45.0,COMPLETE
18,0.8496255291436015,2025-09-19 01:22:15.020809,2025-09-19 01:22:15.229891,0 days 00:00:00.209082,,0.7477822351683525,0.0012652460484714712,14,89,0.863158270062174,555,232,0.0001151250791530179,4.516075437481783,0.9123723027352513,,PRUNED
19,0.8326603712145881,2025-09-19 01:22:15.254140,2025-09-19 01:22:15.448587,0 days 00:00:00.194447,,0.9602558822850643,0.03201288959126345,6,125,0.08172392189974317,1748,254,6.893054188293669e-06,2.515863309400873e-06,0.7725301094055244,,PRUNED
20,0.8471344838814718,2025-09-19 01:22:15.473333,2025-09-19 01:22:15.686794,0 days 00:00:00.213461,,0.9009288332907643,0.010753825427177097,16,60,3.054497326327085,1034,208,1.920514685491945e-07,0.000752687191822569,0.6543053693707372,,PRUNED
21,0.8911429501790947,2025-09-19 01:22:15.710575,2025-09-19 01:22:16.766034,0 days 00:00:01.055459,,0.9290145968382144,0.0447076182093604,14,86,0.36053634728107276,446,238,0.0024177057411102812,5.472143188996454,0.6028489620436726,,PRUNED
22,0.9075854064342351,2025-09-19 01:22:16.790935,2025-09-19 01:22:28.104831,0 days 00:00:11.313896,,0.8387660485766288,0.06482032040926694,14,71,0.001943277189576098,619,255,0.0005016416951525245,1.4242444006410697,0.6313959416420822,137.0,COMPLETE
23,0.9008711960075821,2025-09-19 01:22:28.137429,2025-09-19 01:22:32.437071,0 days 00:00:04.299642,,0.8363741322307668,0.11094016496920663,14,32,1.7208163441567885,678,211,0.0003542001676640544,0.6420907531949338,0.6375781085394606,38.4,COMPLETE
24,0.8753012048192771,2025-09-19 01:22:32.468980,2025-09-19 01:22:32.885483,0 days 00:00:00.416503,,0.7608085257347252,0.02532895531722596,-1,58,0.7598363116715826,656,232,3.740005735748219e-05,0.024388525602924337,0.6850868352820288,,PRUNED
25,0.9025971596450415,2025-09-19 01:22:32.910220,2025-09-19 01:22:43.416638,0 days 00:00:10.506418,,0.8848487209162277,0.05870109441179411,8,96,0.042765762716806086,952,201,0.0004486753134718098,0.417353234012416,0.644448844991144,169.2,COMPLETE
26,0.9059932566695453,2025-09-19 01:22:43.449153,2025-09-19 01:22:51.009663,0 days 00:00:07.560510,,0.8286241906901417,0.09153894726281943,12,72,0.6626195308022467,1313,255,0.012907520249751716,2.112158973206133,0.6877308392135191,88.6,COMPLETE
27,0.8404591338326278,2025-09-19 01:22:51.041062,2025-09-19 01:22:51.254308,0 days 00:00:00.213246,,0.8691892910007801,0.010660398411003956,14,114,1.0338590073177694,614,221,0.10356458829961701,0.1035630236190823,0.6286811317213291,,PRUNED
28,0.8902963204168023,2025-09-19 01:22:51.278326,2025-09-19 01:22:51.887556,0 days 00:00:00.609230,,0.7707426778274395,0.133120601550453,14,22,1.549493187703136,1569,167,0.0013405140783039236,6.762925136498556e-08,0.7476690661015248,,PRUNED
29,0.832806903288831,2025-09-19 01:22:51.912664,2025-09-19 01:22:52.110701,0 days 00:00:00.198037,,0.8983347765871524,0.06030974391013095,6,127,0.39864010404689304,853,118,8.97346864212607e-05,4.337028472453088e-06,0.6235420259908577,,PRUNED
